execution_id,period,department,account_code,account_name,budget_amount,actual_amount,variance_amount,variance_rate,owner,status
BE000001,2024-01,OLED,5000,매출원가,756984000,742080000,-14904000,-0.0197,김대리,정상
BE000002,2024-01,OLED,6100,급여,683644000,830550000,146906000,0.2149,김대리,초과
BE000003,2024-01,OLED,6200,복리후생비,589742000,584530000,-5212000,-0.0088,정사원,정상
BE000004,2024-01,OLED,6300,광고선전비,675998000,740060000,64062000,0.0948,김대리,정상
BE000005,2024-01,OLED,6400,운반비,697596000,665020000,-32576000,-0.0467,김대리,정상
BE000006,2024-01,OLED,6500,감가상각비,692692000,621700000,-70992000,-0.1025,이대리,미달
BE000007,2024-01,OLED,6600,지급수수료,573078000,697900000,124822000,0.2178,최대리,초과
BE000008,2024-01,OLED,6700,연구개발비,690499000,608270000,-82229000,-0.1191,김대리,미달
BE000009,2024-01,OLED,6800,기타판관비,609862000,696390000,86528000,0.1419,이대리,초과
BE000010,2024-01,제약,5000,매출원가,709471000,741380000,31909000,0.045,이대리,정상
BE000011,2024-01,제약,6100,급여,702182000,837590000,135408000,0.1928,최대리,초과
BE000012,2024-01,제약,6200,복리후생비,580998000,778760000,197762000,0.3404,박과장,초과
BE000013,2024-01,제약,6300,광고선전비,778942000,711090000,-67852000,-0.0871,김대리,정상
BE000014,2024-01,제약,6400,운반비,701355000,712890000,11535000,0.0164,박과장,정상
BE000015,2024-01,제약,6500,감가상각비,681016000,600380000,-80636000,-0.1184,정사원,미달
BE000016,2024-01,제약,6600,지급수수료,577672000,567930000,-9742000,-0.0169,김대리,정상
BE000017,2024-01,제약,6700,연구개발비,703358000,582360000,-120998000,-0.172,김대리,미달
BE000018,2024-01,제약,6800,기타판관비,610248000,776780000,166532000,0.2729,박과장,초과
BE000019,2024-02,OLED,5000,매출원가,762521000,710900000,-51621000,-0.0677,김대리,정상
BE000020,2024-02,OLED,6100,급여,672311000,713280000,40969000,0.0609,김대리,정상
BE000021,2024-02,OLED,6200,복리후생비,567135000,667940000,100805000,0.1777,정사원,초과
BE000022,2024-02,OLED,6300,광고선전비,675998000,649290000,-26708000,-0.0395,김대리,정상
BE000023,2024-02,OLED,6400,운반비,717111000,638210000,-78901000,-0.11,김대리,미달
BE000024,2024-02,OLED,6500,감가상각비,694197000,696710000,2513000,0.0036,이대리,정상
BE000025,2024-02,OLED,6600,지급수수료,605194000,735020000,129826000,0.2145,최대리,초과
BE000026,2024-02,OLED,6700,연구개발비,723289000,671180000,-52109000,-0.072,김대리,정상
BE000027,2024-02,OLED,6800,기타판관비,627484000,512250000,-115234000,-0.1836,이대리,미달
BE000028,2024-02,제약,5000,매출원가,741256000,713300000,-27956000,-0.0377,이대리,정상
BE000029,2024-02,제약,6100,급여,688677000,665600000,-23077000,-0.0335,최대리,정상
BE000030,2024-02,제약,6200,복리후생비,609972000,720160000,110188000,0.1806,박과장,초과
BE000031,2024-02,제약,6300,광고선전비,778942000,656990000,-121952000,-0.1566,김대리,미달
BE000032,2024-02,제약,6400,운반비,718850000,720580000,1730000,0.0024,박과장,정상
BE000033,2024-02,제약,6500,감가상각비,669519000,766170000,96651000,0.1444,정사원,초과
BE000034,2024-02,제약,6600,지급수수료,564200000,759530000,195330000,0.3462,김대리,초과
BE000035,2024-02,제약,6700,연구개발비,688995000,560680000,-128315000,-0.1862,김대리,미달
BE000036,2024-02,제약,6800,기타판관비,594604000,754620000,160016000,0.2691,박과장,초과
BE000037,2024-03,OLED,5000,매출원가,754869000,670270000,-84599000,-0.1121,김대리,미달
BE000038,2024-03,OLED,6100,급여,711044000,692870000,-18174000,-0.0256,김대리,정상
BE000039,2024-03,OLED,6200,복리후생비,594329000,778100000,183771000,0.3092,정사원,초과
BE000040,2024-03,OLED,6300,광고선전비,675998000,461560000,-214438000,-0.3172,김대리,미달
BE000041,2024-03,OLED,6400,운반비,719025000,640920000,-78105000,-0.1086,김대리,미달
BE000042,2024-03,OLED,6500,감가상각비,703932000,737080000,33148000,0.0471,이대리,정상
BE000043,2024-03,OLED,6600,지급수수료,609596000,744710000,135114000,0.2216,최대리,초과
BE000044,2024-03,OLED,6700,연구개발비,725418000,718090000,-7328000,-0.0101,김대리,정상
BE000045,2024-03,OLED,6800,기타판관비,579643000,701590000,121947000,0.2104,이대리,초과
BE000046,2024-03,제약,5000,매출원가,692568000,759240000,66672000,0.0963,이대리,정상
BE000047,2024-03,제약,6100,급여,671901000,683050000,11149000,0.0166,최대리,정상
BE000048,2024-03,제약,6200,복리후생비,585282000,659560000,74278000,0.1269,박과장,초과
BE000049,2024-03,제약,6300,광고선전비,778942000,835060000,56118000,0.072,김대리,정상
BE000050,2024-03,제약,6400,운반비,681547000,653200000,-28347000,-0.0416,박과장,정상
BE000051,2024-03,제약,6500,감가상각비,693199000,661330000,-31869000,-0.046,정사원,정상
BE000052,2024-03,제약,6600,지급수수료,577196000,637450000,60254000,0.1044,김대리,초과
BE000053,2024-03,제약,6700,연구개발비,686985000,618240000,-68745000,-0.1001,김대리,미달
BE000054,2024-03,제약,6800,기타판관비,613925000,732460000,118535000,0.1931,박과장,초과
BE000055,2024-04,OLED,5000,매출원가,735966000,804030000,68064000,0.0925,김대리,정상
BE000056,2024-04,OLED,6100,급여,727093000,788940000,61847000,0.0851,김대리,정상
BE000057,2024-04,OLED,6200,복리후생비,625517000,635120000,9603000,0.0154,정사원,정상
BE000058,2024-04,OLED,6300,광고선전비,675998000,682200000,6202000,0.0092,김대리,정상
BE000059,2024-04,OLED,6400,운반비,686401000,778390000,91989000,0.134,김대리,초과
BE000060,2024-04,OLED,6500,감가상각비,723173000,514030000,-209143000,-0.2892,이대리,미달
BE000061,2024-04,OLED,6600,지급수수료,586107000,693380000,107273000,0.183,최대리,초과
BE000062,2024-04,OLED,6700,연구개발비,675412000,695480000,20068000,0.0297,김대리,정상
BE000063,2024-04,OLED,6800,기타판관비,608106000,562270000,-45836000,-0.0754,이대리,정상
BE000064,2024-04,제약,5000,매출원가,693436000,775260000,81824000,0.118,이대리,초과
BE000065,2024-04,제약,6100,급여,696715000,759950000,63235000,0.0908,최대리,정상
BE000066,2024-04,제약,6200,복리후생비,594410000,708770000,114360000,0.1924,박과장,초과
BE000067,2024-04,제약,6300,광고선전비,778942000,576180000,-202762000,-0.2603,김대리,미달
BE000068,2024-04,제약,6400,운반비,718766000,764140000,45374000,0.0631,박과장,정상
BE000069,2024-04,제약,6500,감가상각비,714271000,696680000,-17591000,-0.0246,정사원,정상
BE000070,2024-04,제약,6600,지급수수료,573114000,798070000,224956000,0.3925,김대리,초과
BE000071,2024-04,제약,6700,연구개발비,704512000,805300000,100788000,0.1431,김대리,초과
BE000072,2024-04,제약,6800,기타판관비,590851000,732250000,141399000,0.2393,박과장,초과
BE000073,2024-05,OLED,5000,매출원가,707270000,529970000,-177300000,-0.2507,김대리,미달
BE000074,2024-05,OLED,6100,급여,693475000,729040000,35565000,0.0513,김대리,정상
BE000075,2024-05,OLED,6200,복리후생비,579362000,724420000,145058000,0.2504,정사원,초과
BE000076,2024-05,OLED,6300,광고선전비,675998000,816180000,140182000,0.2074,김대리,초과
BE000077,2024-05,OLED,6400,운반비,698475000,883200000,184725000,0.2645,김대리,초과
BE000078,2024-05,OLED,6500,감가상각비,706782000,815910000,109128000,0.1544,이대리,초과
BE000079,2024-05,OLED,6600,지급수수료,585196000,741890000,156694000,0.2678,최대리,초과
BE000080,2024-05,OLED,6700,연구개발비,692651000,621450000,-71201000,-0.1028,김대리,미달
BE000081,2024-05,OLED,6800,기타판관비,591128000,527180000,-63948000,-0.1082,이대리,미달
BE000082,2024-05,제약,5000,매출원가,683566000,760740000,77174000,0.1129,이대리,초과
BE000083,2024-05,제약,6100,급여,714575000,523930000,-190645000,-0.2668,최대리,미달
BE000084,2024-05,제약,6200,복리후생비,602622000,678900000,76278000,0.1266,박과장,초과
BE000085,2024-05,제약,6300,광고선전비,778942000,889990000,111048000,0.1426,김대리,초과
BE000086,2024-05,제약,6400,운반비,726512000,684070000,-42442000,-0.0584,박과장,정상
BE000087,2024-05,제약,6500,감가상각비,733398000,770200000,36802000,0.0502,정사원,정상
BE000088,2024-05,제약,6600,지급수수료,564402000,645350000,80948000,0.1434,김대리,초과
BE000089,2024-05,제약,6700,연구개발비,743255000,671020000,-72235000,-0.0972,김대리,정상
